,user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type
23288863,1,112203,1252,4026,1469.0,1018,0
23288864,1,556107,1252,739,6822.0,1018,0
23288865,1,411984,1252,4177,1960.0,1018,0
23288866,1,112203,1252,4026,1469.0,1018,0
23288867,1,112203,1252,4026,1469.0,1021,2
23288868,1,112203,1252,4026,1469.0,1021,0
23288869,1,1110495,992,1019,6805.0,1111,0
23288870,1,1110495,992,1019,6805.0,1111,0
23288871,1,1110495,992,1019,6805.0,1111,0
23288872,1,1110495,992,1019,6805.0,1111,0
23288873,1,1110495,992,1019,6805.0,1111,0
23288874,1,1110495,992,1019,6805.0,1111,2
23288875,1,1110495,992,1019,6805.0,1111,2
23288876,1,1110495,992,1019,6805.0,1111,2
23288877,1,1110495,992,1019,6805.0,1111,2
23288878,1,1110495,992,1019,6805.0,1111,0
23288879,1,638653,389,471,3431.0,1111,0
23288880,1,1110495,992,1019,6805.0,1111,0
23288881,1,452339,389,4335,649.0,1111,0
23288882,1,1110495,992,1019,6805.0,1111,0
23288883,1,1110495,992,1019,6805.0,1111,0
23288884,1,1110495,992,1019,6805.0,1111,0
23288885,1,896183,1256,1156,3862.0,1111,0
23288886,1,504149,1023,925,7402.0,1011,0
23288887,1,504149,1023,925,7402.0,1011,0
23288888,1,504149,1023,925,7402.0,1011,2
23288889,1,504149,1023,925,7402.0,1011,0
23288890,1,181459,276,2245,4750.0,1009,0
23288891,1,779078,276,2245,4750.0,1009,0
23288892,1,779078,276,2245,4750.0,1009,0
23288893,1,452837,276,2245,4750.0,1009,0
23288894,1,543397,276,2245,4750.0,1009,0
23288895,1,112203,1252,4026,1469.0,1018,0
